lg family ind nr_rec
17 T4 P10853_151_S80 1
17 T4 P10853_153_S82 1
17 T4 P10853_154_S83 1
17 T4 P10853_158_S87 1
17 T5 P10853_166_S95 1
17 T5 P10853_167_S96 1
17 T5 P10853_169_S98 1
17 T5 P10853_171_S100 1
17 T5 P10853_173_S102 1
17 T5 P10853_174_S103 1
17 T5 P10853_177_S105 1
17 T5 P10853_180_S108 1
17 T5 P10853_181_S109 1
17 T5 P10853_182_S110 1
17 T5 P10853_183_S111 1
17 T5 P10853_185_S113 1
17 T5 P10853_187_S115 1
17 T5 P10853_190_S118 1
17 T5 P10853_192_S120 1
17 T5 P10853_194_S122 1
17 T5 P10853_195_S123 1
17 T5 P14460_169_S69 1
17 T5 P14460_171_S71 1
17 T5 P14460_177_S77 1
17 T5 P14460_186_S86 1
17 T5 P14460_187_S87 1
17 T5 P14460_195_S95 1
17 T5 P14460_196_S96 1
17 T6 P14460_104_S4 1
17 T6 P14460_107_S7 1
17 T2 P14460_114_S14 1
17 T2 P14460_115_S15 1
17 T2 P14460_116_S16 1
17 T2 P14460_118_S18 1
17 T2 P14460_119_S19 1
17 T2 P14460_123_S23 1
17 T2 P14460_124_S24 1
17 T2 P14460_125_S25 1
17 T2 P14460_126_S26 1
17 T2 P14460_129_S29 1
17 T2 P14460_133_S33 1
17 T2 P14460_135_S35 1
17 T2 P14460_137_S37 1
17 T2 P14460_138_S38 1
17 T2 P14460_141_S41 1
17 T2 P14460_143_S43 1
17 T2 P14460_146_S46 1
17 T2 P14460_149_S49 1
17 T2 P14460_151_S51 1
17 S25 P14460_157_S57 1
17 S25 P14460_159_S59 1
17 S25 P14460_161_S61 1
18 T3 P10853_101_S31 1
18 T3 P10853_103_S33 1
18 T3 P10853_104_S34 1
18 T3 P10853_106_S36 1
18 T3 P10853_109_S39 1
18 T3 P10853_110_S40 1
18 T3 P10853_111_S41 1
18 T3 P10853_112_S42 1
18 T3 P10853_115_S45 1
